,Account Number,Risk Score,No. of Suspicious Transactions,No. of Red Flags
1,4,2,4,6
2,5,2,0,2
3,6,2,0,2
4,7,2,4,6
6,9,3,6,9
9,12,2,0,2
11,15,2,0,2
12,16,2,0,2
14,18,2,0,2
15,20,2,1,3
16,21,2,0,2
25,32,2,0,2
28,35,3,0,3
29,36,2,4,6
30,38,2,0,2
32,41,2,0,2
39,48,2,0,2
41,50,2,0,2
43,52,2,0,2
45,54,2,0,2
46,55,2,2,4
47,56,2,2,4
51,60,2,0,2
53,64,2,0,2
58,69,3,0,3
59,70,2,0,2
61,72,2,0,2
62,73,2,0,2
63,74,2,1,3
64,75,2,0,2
65,76,2,0,2
66,77,2,0,2
67,78,2,2,4
68,80,2,0,2
70,82,2,0,2
73,85,2,0,2
74,86,2,6,8
75,87,2,0,2
76,88,2,0,2
80,92,2,2,4
83,96,2,2,4
84,97,2,0,2
87,100,2,0,2
